ZIP_CODE,POPULATION
1001,16769.0
1002,29049.0
1003,10372.0
1005,5079.0
1007,14649.0
1008,1263.0
1009,741.0
1010,3609.0
1011,1370.0
1012,661.0
1013,23188.0
1020,29668.0
1022,2451.0
1026,946.0
1027,17660.0
1028,15720.0
1029,789.0
1030,11669.0
1031,1308.0
1032,570.0
1033,6227.0
1034,2021.0
1035,5250.0
1036,5109.0
1037,838.0
1038,2545.0
1039,1336.0
1040,39880.0
1050,2530.0
1053,1685.0
1054,1851.0
1056,21103.0
1057,8534.0
1060,15284.0
1062,11150.0
1063,430.0
1066,64.0
1068,1902.0
1069,8469.0
1070,629.0
1071,1596.0
1072,1478.0
1073,5792.0
1074,319.0
1075,17527.0
1077,9502.0
1079,692.0
1080,2334.0
1081,1698.0
1082,10322.0
1083,2888.0
1084,176.0
1085,41117.0
1086,687.0
1088,670.0
1089,28391.0
1092,1394.0
1093,325.0
1094,351.0
1095,14319.0
1096,2217.0
1097,111.0
1098,1101.0
1103,2479.0
1104,22865.0
1105,12350.0
1106,16021.0
1107,11611.0
1108,26688.0
1109,30250.0
1118,14071.0
1119,14152.0
1128,2631.0
1129,7019.0
1151,8698.0
1199,0.0
1201,46504.0
1220,8603.0
1222,829.0
1223,2314.0
1224,182.0
1225,3117.0
1226,6945.0
1229,95.0
1230,8430.0
1235,2766.0
1236,1509.0
1237,2496.0
1238,6047.0
1240,4534.0
1242,476.0
1243,334.0
1244,151.0
1245,985.0
1247,16087.0
1253,731.0
1254,972.0
1255,915.0
1256,692.0
1257,2121.0
1258,374.0
1259,635.0
1260,240.0
1262,1238.0
1264,137.0
1266,1463.0
1267,7989.0
1270,778.0
1301,17700.0
1330,1506.0
1331,13263.0
1337,2596.0
1338,187.0
1339,1438.0
1340,1701.0
1341,1833.0
1342,1492.0
1343,75.0
1344,1498.0
1346,533.0
1347,166.0
1349,1091.0
1350,121.0
1351,2270.0
1354,1500.0
1355,878.0
1360,3032.0
1364,7969.0
1366,1277.0
1367,522.0
1368,1261.0
1370,4084.0
1373,4600.0
1375,3684.0
1376,5247.0
1378,774.0
1379,813.0
1420,40337.0
1430,6089.0
1431,3074.0
1432,7089.0
1434,1795.0
1436,3336.0
1438,559.0
1440,20347.0
1450,10646.0
1451,4747.0
1452,4382.0
1453,40883.0
1460,8924.0
1462,10086.0
1463,11497.0
1464,7211.0
1467,316.0
1468,4021.0
1469,6801.0
1473,7277.0
1474,2125.0
1475,10270.0
1501,16075.0
1503,2866.0
1504,9026.0
1505,4355.0
1506,3390.0
1507,12981.0
1510,13606.0
1515,2183.0
1516,8500.0
1518,2974.0
1519,6595.0
1520,13997.0
1521,2481.0
1522,3310.0
1523,7582.0
1524,6696.0
1525,290.0
1527,13246.0
1529,3190.0
1531,999.0
1532,14155.0
1534,5631.0
1535,4680.0
1536,6888.0
1537,2248.0
1540,11291.0
1541,3413.0
1542,2202.0
1543,7973.0
1545,35299.0
1550,16719.0
1560,4527.0
1561,330.0
1562,11688.0
1564,7808.0
1566,6294.0
1568,7480.0
1569,13569.0
1570,16767.0
1571,11390.0
1581,18272.0
1583,7591.0
1585,4554.0
1588,9733.0
1590,8875.0
1602,22819.0
1603,19916.0
1604,34677.0
1605,26221.0
1606,19077.0
1607,8351.0
1608,3888.0
1609,22421.0
1610,23945.0
1611,2242.0
1612,4845.0
1701,31217.0
1702,37206.0
1718,469.0
1719,4996.0
1720,21361.0
1721,16593.0
1730,13221.0
1731,1396.0
1740,4897.0
1741,4852.0
1742,17726.0
1745,397.0
1746,13547.0
1747,5911.0
1748,14925.0
1749,19063.0
1752,38499.0
1754,10106.0
1756,5839.0
1757,28061.0
1760,32786.0
1770,4119.0
1772,9370.0
1773,5112.0
1775,6590.0
1776,17659.0
1778,13109.0
1801,38903.0
1803,24487.0
1810,33201.0
1821,30310.0
1824,24911.0
1826,29422.0
1827,3179.0
1830,25137.0
1832,22060.0
1833,8183.0
1834,6459.0
1835,13682.0
1840,4733.0
1841,47225.0
1843,24425.0
1844,47249.0
1845,28352.0
1850,15237.0
1851,30190.0
1852,33508.0
1854,27606.0
1860,6338.0
1862,10227.0
1863,8891.0
1864,14892.0
1867,23956.0
1876,28667.0
1879,11305.0
1880,24733.0
1886,21951.0
1887,22325.0
1890,21382.0
1901,1689.0
1902,45139.0
1904,18203.0
1905,25251.0
1906,26660.0
1907,14027.0
1908,3410.0
1913,16283.0
1915,39502.0
1921,7961.0
1922,3108.0
1923,26342.0
1929,3504.0
1930,28789.0
1937,151.0
1938,13175.0
1940,12108.0
1944,5136.0
1945,19808.0
1949,8987.0
1950,17416.0
1951,3558.0
1952,8283.0
1960,50944.0
1966,6952.0
1969,5856.0
1970,41109.0
1982,7764.0
1983,6089.0
1984,4875.0
1985,4235.0
2019,16332.0
2021,21561.0
2025,7542.0
2026,24711.0
2030,5589.0
2032,4226.0
2035,16865.0
2038,31635.0
2043,22157.0
2045,10293.0
2047,180.0
2048,23184.0
2050,25429.0
2052,12024.0
2053,12752.0
2054,7891.0
2056,10981.0
2061,10506.0
2062,28602.0
2066,17656.0
2067,17486.0
2071,1707.0
2072,26999.0
2081,18472.0
2090,14636.0
2093,10955.0
2108,3825.0
2109,3771.0
2110,1733.0
2111,7383.0
2113,6915.0
2114,11999.0
2115,28441.0
2116,20628.0
2118,26498.0
2119,25346.0
2120,15181.0
2121,25978.0
2122,23479.0
2124,47783.0
2125,33295.0
2126,25562.0
2127,31799.0
2128,40508.0
2129,16439.0
2130,35401.0
2131,29826.0
2132,25861.0
2134,21503.0
2135,42780.0
2136,28488.0
2138,36314.0
2139,36349.0
2140,17607.0
2141,11910.0
2142,3141.0
2143,24514.0
2144,23891.0
2145,25439.0
2148,59503.0
2149,41550.0
2150,35124.0
2151,51808.0
2152,17497.0
2155,57964.0
2163,2582.0
2169,55055.0
2170,19505.0
2171,17711.0
2176,26983.0
2180,21437.0
2184,35744.0
2186,27003.0
2188,14608.0
2189,14559.0
2190,16119.0
2191,8457.0
2199,1146.0
2203,0.0
2210,2090.0
2215,26125.0
2301,61025.0
2302,32741.0
2322,4356.0
2324,26563.0
2330,11509.0
2332,15059.0
2333,13794.0
2338,7518.0
2339,13879.0
2341,10218.0
2343,10745.0
2346,23106.0
2347,10612.0
2351,16029.0
2356,12564.0
2357,1360.0
2359,17828.0
2360,56271.0
2364,12629.0
2366,197.0
2367,2820.0
2368,32158.0
2370,17489.0
2375,9188.0
2379,6916.0
2382,14489.0
2420,14052.0
2421,17342.0
2445,20679.0
2446,29311.0
2451,17426.0
2452,14238.0
2453,28968.0
2457,1432.0
2458,12131.0
2459,19095.0
2460,8742.0
2461,7059.0
2462,1554.0
2464,2953.0
2465,11710.0
2466,8096.0
2467,22491.0
2468,5273.0
2472,32014.0
2474,26312.0
2476,16532.0
2478,24664.0
2481,16244.0
2482,10306.0
2492,19931.0
2493,11261.0
2494,8955.0
2532,12690.0
2534,842.0
2535,1177.0
2536,19583.0
2537,6293.0
2538,3603.0
2539,4067.0
2540,8221.0
2542,1139.0
2543,635.0
2553,226.0
2554,9852.0
2556,3115.0
2557,4491.0
2558,2156.0
2559,3376.0
2561,539.0
2562,2977.0
2563,10359.0
2564,310.0
2568,4000.0
2571,10481.0
2575,2725.0
2576,3754.0
2584,10.0
2601,14089.0
2630,1850.0
2631,9679.0
2632,10742.0
2633,3884.0
2635,3296.0
2637,253.0
2638,3207.0
2639,2875.0
2641,532.0
2642,4937.0
2643,26.0
2644,3955.0
2645,9663.0
2646,1676.0
2647,129.0
2648,7301.0
2649,14006.0
2650,848.0
2651,16.0
2652,1175.0
2653,5911.0
2655,3518.0
2657,2942.0
2659,1108.0
2660,6261.0
2663,173.0
2664,9371.0
2666,828.0
2667,2580.0
2668,3278.0
2669,285.0
2670,1307.0
2671,1023.0
2672,180.0
2673,8402.0
2675,6577.0
2702,4125.0
2703,43593.0
2713,52.0
2715,3123.0
2717,4745.0
2718,6655.0
2719,15873.0
2720,30287.0
2721,26290.0
2723,14767.0
2724,16908.0
2725,2631.0
2726,15534.0
2738,4907.0
2739,6045.0
2740,43087.0
2743,10307.0
2744,11900.0
2745,24576.0
2746,15342.0
2747,22927.0
2748,11442.0
2760,26739.0
2762,8264.0
2763,1973.0
2764,3988.0
2766,19031.0
2767,13566.0
